02667819, 3.810000
02720147, 8.810000
02728155, 7.381000
04629556, 6.667000
05439560, 6.667000
05458386, 9.286000
06278286, 9.286000
06682977, 6.905000
47293890, 8.571000
47544635, 6.905000
51115844, 5.714000
51116024, 7.857000
51141133, 9.286000
51141644, 6.190000
51142852, 5.952000
51144195, 5.714000
51473466, 5.476000
51500935, 10.000000
53495065, 10.000000
53496970, 7.143000
53502608, 4.286000
53666399, 8.571000
53668893, 5.714000
53745512, 4.524000
53746282, 5.476000
53746462, 6.190000
53757766, 7.143000
53816763, 5.238000
53840828, 8.333000
53842773, 6.429000
70076248, 7.857000
70256021, 5.952000
70422188, 9.286000
70935599, 10.000000
76660945, 10.000000
77155569, 7.857000
