02289512, 8.095000
02709473, 6.667000
03144047, 6.429000
04625558, 3.333000
05299935, 2.143000
05304219, 6.190000
05311923, 9.524000
05339455, 8.571000
05453548, 10.000000
05943739, 6.429000
51122062, 7.857000
51124778, 8.095000
51469281, 7.381000
51477999, 9.286000
51480697, 5.714000
52895132, 8.095000
53498169, 8.810000
53499444, 4.286000
53500759, 8.571000
53666971, 7.857000
53667274, 8.095000
53746576, 8.095000
53747504, 3.571000
53764713, 10.000000
53840595, 10.000000
53842571, 9.286000
53842825, 7.143000
53989769, 7.857000
70060999, 8.571000
70061447, 6.667000
70074496, 2.381000
70418127, 9.286000
70418772, 5.000000
71302326, 6.190000
71307312, 5.476000
